Date,Open,High,Low,Close,Adj_Close,Volume,company_name,Scaled_Close,predicted_close
2019-12-12,66.94499969,68.13999939,66.83000183,67.86499786,66.11624908,137310400,APPLE,0.045575656,72.47750092
2019-12-13,67.86499786,68.82499695,67.73249817,68.78749847,67.01499176,133587600,APPLE,0.048372223,72.44999695
2019-12-16,69.25,70.19750214,69.24500275,69.96499634,68.16214752,128186000,APPLE,0.051941815,72.87999725
2019-12-17,69.89250183,70.44249725,69.69999695,70.10250092,68.29610443,114158400,APPLE,0.052358661,73.41249847
2019-12-18,69.94999695,70.47499847,69.77999878,69.93499756,68.13290405,116028400,APPLE,0.051850873,75.08750153
2019-12-19,69.875,70.29499817,69.73750305,70.00499725,68.20111847,98369200,APPLE,0.052063078,74.35749817
2019-12-20,70.55750275,70.66249847,69.63999939,69.86000061,68.0598526,275978000,APPLE,0.05162352,64.46804047
2019-12-23,70.13249969,71.0625,70.09249878,71,69.17047882,98572000,APPLE,0.055079435,64.96473694
2019-12-24,71.17250061,71.22250366,70.73000336,71.06749725,69.23622894,48478800,APPLE,0.055284053,65.37545776
2019-12-26,71.20500183,72.49500275,71.17500305,72.47750092,70.60991669,93121200,APPLE,0.059558488,66.24635315
2019-12-27,72.77999878,73.49250031,72.02999878,72.44999695,70.58312225,146266000,APPLE,0.05947511,66.79875183
2019-12-30,72.36499786,73.17250061,71.30500031,72.87999725,71.00204468,144114400,APPLE,0.060778659,67.24473572
2019-12-31,72.48249817,73.41999817,72.37999725,73.41249847,71.52080536,100805600,APPLE,0.062392939,67.72517395
2020-01-02,74.05999756,75.15000153,73.79750061,75.08750153,73.15264893,135480400,APPLE,0.067470722,68.79457855
2020-01-03,74.28749847,75.14499664,74.125,74.35749817,72.4414444,146322800,APPLE,0.065257712,69.14817047
2020-01-06,73.44750214,74.98999786,73.1875,74.94999695,73.01867676,118387200,APPLE,0.067053876,69.49097443
2020-01-07,74.95999908,75.22499847,74.37000275,74.59750366,72.67528534,108872000,APPLE,0.06598529,69.51239014
2020-01-08,74.29000092,76.11000061,74.29000092,75.79750061,73.84435272,132079200,APPLE,0.069623088,70.03868866
2020-01-09,76.80999756,77.60749817,76.55000305,77.40750122,75.41287231,170108400,APPLE,0.074503816,71.19089508
2020-01-10,77.65000153,78.16750336,77.0625,77.58249664,75.58335876,140644800,APPLE,0.075034315,72.02346802
2020-01-13,77.91000366,79.26750183,77.78749847,79.23999786,77.19815063,121532000,APPLE,0.080059041,73.19794464
2020-01-14,79.17500305,79.39250183,78.04250336,78.16999817,76.15570831,161954400,APPLE,0.07681533,73.4018631
2020-01-15,77.96250153,78.875,77.38749695,77.83499908,75.82936859,121923600,APPLE,0.075799778,73.17436218
2020-01-16,78.39749908,78.92500305,78.02249908,78.80999756,76.77923584,108829200,APPLE,0.078755492,73.44728088
2020-01-17,79.06749725,79.68499756,78.75,79.68250275,77.62924194,137816400,APPLE,0.081400497,74.1128006
2020-01-21,79.29750061,79.75499725,79,79.14250183,77.10315704,110843200,APPLE,0.079763481,74.29203033
2020-01-22,79.64499664,79.99749756,79.32749939,79.42500305,77.37838745,101832400,APPLE,0.080619885,74.43417358
2020-01-23,79.48000336,79.88999939,78.91249847,79.80750275,77.7510376,104472000,APPLE,0.081779435,74.68224335
2020-01-24,80.0625,80.83249664,79.37999725,79.57749939,77.52693939,146537600,APPLE,0.081082179,74.73429871
2020-01-27,77.51499939,77.94249725,76.22000122,77.23750305,75.24723816,161940000,APPLE,0.073988465,73.61869812
2020-01-28,78.15000153,79.59999847,78.04750061,79.42250061,77.37594604,162234000,APPLE,0.080612299,73.83110809
2020-01-29,81.11250305,81.96250153,80.34500122,81.08499908,78.99560547,216229200,APPLE,0.085652174,74.98912811
2020-01-30,80.13500214,81.02249908,79.6875,80.96749878,78.88113403,126743200,APPLE,0.085295971,75.73916626
2020-01-31,80.23249817,80.66999817,77.07250214,77.37750244,75.38365173,199588400,APPLE,0.074412874,74.3556366
2020-02-03,76.07499695,78.37249756,75.55500031,77.16500092,75.17660522,173788400,APPLE,0.073768674,73.10040283
